category,num_samples,num_correct,precision,recall,f1_score
Business Expenses,186,186,1.0,1.0,1.0
Charitable,183,183,1.0,1.0,1.0
Dining,2170,2170,1.0,1.0,1.0
Education,378,360,0.9549071618037135,0.9523809523809523,0.9536423841059603
Entertainment,920,920,1.0,1.0,1.0
Financial Services,278,278,0.996415770609319,1.0,0.9982046678635548
Healthcare,392,391,1.0,0.9974489795918368,0.9987228607918263
Housing,269,269,1.0,1.0,1.0
Miscellaneous,86,86,1.0,1.0,1.0
Personal Care,390,390,1.0,1.0,1.0
Shopping,1636,1619,0.9890042761148442,0.9896088019559902,0.9893064466849985
Technology,469,469,1.0,1.0,1.0
Transportation,1105,1105,1.0,1.0,1.0
Travel,831,831,1.0,1.0,1.0
Utilities,707,707,1.0,1.0,1.0
