transaction_id,merchant_raw,amount,currency,timestamp,channel,location,mcc_code,l1,l1_id,l2,l2_id,l3,l3_id
TXN_20241121_006919,WATER BILL NY #5469 391154,81.25,EUR,2024-11-21T22:56:55.505178,atm,"Chicago, IL",4900,Utilities,UTL,Utilities - Water,UTL-WAT,Utilities - Water - Bill,UTL-WAT-BIL
TXN_20241121_002623,PAYPAL * JIO FIBER,108.63,EUR,2024-11-22T01:17:52.505178,pos,"Kolkata, WB",4899,Utilities,UTL,Utilities - Internet,UTL-INT,Utilities - Internet - Broadband,UTL-INT-BRD
TXN_20241121_001929,PARKING * 8Q86ORLZ,25.36,GBP,2024-11-22T01:47:17.505178,mobile,"Kolkata, WB",7523,Transportation,TRN,Transportation - Parking,TRN-PRK,Transportation - Parking - Fee,TRN-PRK-FEE
TXN_20241121_009133,SWIGGY FOOD,150.0,USD,2024-11-22T03:25:43.505178,pos,"San Diego, CA",5814,Dining,DIN,Dining - Food Delivery,DIN-DEL,Dining - Food Delivery - Swiggy,DIN-DEL-SWG
TXN_20241121_006704,INOX BANGALORE #8180,46.32,USD,2024-11-22T04:13:23.505178,pos,"Bangalore, KA",7832,Entertainment,ENT,Entertainment - Movies,ENT-MOV,Entertainment - Movies - Theater,ENT-MOV-THR
TXN_20241121_008496,SQ * POSTPAID,154.27,AUD,2024-11-22T07:13:49.505178,mobile,"Phoenix, AZ",4814,Utilities,UTL,Utilities - Internet,UTL-INT,Utilities - Internet - Mobile,UTL-INT-MOB
TXN_20241121_003678,PROFESSIONAL SERVICES STORE 340163,1000.0,AUD,2024-11-22T07:46:54.505178,online,,8999,Business Expenses,BUS,Business Expenses - Services,BUS-SRV,Business Expenses - Services - Professional,BUS-SRV-PRO
TXN_20241121_007015,WIFI PUNE,127.55,EUR,2024-11-22T08:34:14.505178,mobile,"Pune, MH",4899,Utilities,UTL,Utilities - Internet,UTL-INT,Utilities - Internet - Broadband,UTL-INT-BRD
TXN_20241121_007698,STRIPE * FITNESS,28.09,INR,2024-11-22T10:24:34.505178,pos,"Phoenix, AZ",7997,Personal Care,PER,Personal Care - Gym,PER-GYM,Personal Care - Gym - Membership,PER-GYM-MEM
TXN_20241121_005451,SWIGGY DELIVERY,65.39,INR,2024-11-22T10:38:38.505178,mobile,"Kolkata, WB",5814,Dining,DIN,Dining - Food Delivery,DIN-DEL,Dining - Food Delivery - Swiggy,DIN-DEL-SWG
TXN_20241121_006414,BARBER #689,119.68,EUR,2024-11-22T11:18:33.505178,mobile,"Delhi, DL",7230,Personal Care,PER,Personal Care - Salon,PER-SAL,Personal Care - Salon - Haircut,PER-SAL-HAR
TXN_20241121_002015,MEDICAL INSURANCE,163.94,EUR,2024-11-22T11:23:25.505178,mobile,"Mumbai, MH",6300,Healthcare,HLT,Healthcare - Insurance,HLT-INS,Healthcare - Insurance - Premium,HLT-INS-PRM
TXN_20241121_009749,PARKING FEE,100.0,EUR,2024-11-22T11:34:05.505178,pos,"Mumbai, MH",7523,Transportation,TRN,Transportation - Parking,TRN-PRK,Transportation - Parking - Fee,TRN-PRK-FEE
TXN_20241121_000853,PAPA JOHNS NC,15.15,USD,2024-11-22T11:43:09.505178,pos,"San Antonio, TX",5814,Dining,DIN,Dining - Fast Food,DIN-FST,Dining - Fast Food - Pizza,DIN-FST-PIZ
TXN_20241121_002538,TARGET MA #5979 1949,500.0,USD,2024-11-22T12:22:50.505178,pos,"Phoenix, AZ",5411,Shopping,SHP,Shopping - Groceries,SHP-GRO,Shopping - Groceries - Supermarket,SHP-GRO-SUP
TXN_20241121_004582,SQ * ZOMATO,78.91,EUR,2024-11-22T12:38:11.505178,atm,"Mumbai, MH",5814,Dining,DIN,Dining - Food Delivery,DIN-DEL,Dining - Food Delivery - Zomato,DIN-DEL-ZOM
TXN_20241121_005211,ZEPTO #9545,206.78,USD,2024-11-22T13:03:35.505178,online,,5411,Shopping,SHP,Shopping - Groceries,SHP-GRO,Shopping - Groceries - Online,SHP-GRO-ONL
TXN_20241121_005825,TST* MEDPLUS,359.78,INR,2024-11-22T15:07:12.505178,pos,"Hyderabad, TG",5912,Healthcare,HLT,Healthcare - Pharmacy,HLT-PHR,Healthcare - Pharmacy - Medicine,HLT-PHR-MED
TXN_20241121_005277,MCDONALDS #7317,150.0,USD,2024-11-22T15:26:23.505178,pos,"Pune, MH",5814,Dining,DIN,Dining - Fast Food,DIN-FST,Dining - Fast Food - Burgers,DIN-FST-BRG
TXN_20241121_007875,PP* FINE DINING,42.07,USD,2024-11-22T16:11:07.505178,pos,"Phoenix, AZ",5812,Dining,DIN,Dining - Restaurants,DIN-RES,Dining - Restaurants - Fine Dining,DIN-RES-FIN
TXN_20241121_000196,DIESEL,34.98,EUR,2024-11-22T17:52:10.505178,pos,"Bangalore, KA",5541,Transportation,TRN,Transportation - Fuel,TRN-FUL,Transportation - Fuel - Diesel,TRN-FUL-DIE
