transaction_id,merchant_raw,amount,currency,timestamp,channel,location,mcc_code,l1,l1_id,l2,l2_id,l3,l3_id
TXN_20241122_052659,RESTAURANT #6353 1689,83.53,EUR,2024-11-22T09:00:02.152477,pos,"Chicago, IL",5812,Dining,DIN,Dining - Restaurants,DIN-RES,Dining - Restaurants - Fine Dining,DIN-RES-FIN
TXN_20241122_042219,WATER #2179 473,68.46,GBP,2024-11-22T09:01:07.152477,mobile,"Phoenix, AZ",4900,Utilities,UTL,Utilities - Water,UTL-WAT,Utilities - Water - Bill,UTL-WAT-BIL
TXN_20241122_054792,MEDICAL INSURANCE #348 410,229.29,USD,2024-11-22T09:21:05.152477,mobile,"New York, NY",6300,Healthcare,HLT,Healthcare - Insurance,HLT-INS,Healthcare - Insurance - Premium,HLT-INS-PRM
TXN_20241122_038313,AMC #4267,87.94,EUR,2024-11-22T09:41:53.152477,pos,"Bangalore, KA",7832,Entertainment,ENT,Entertainment - Movies,ENT-MOV,Entertainment - Movies - Theater,ENT-MOV-THR
TXN_20241122_077159,VISA * SEBXWE3E 232542,1076.94,EUR,2024-11-22T09:52:07.152477,pos,"Chicago, IL",9399,Travel,TRV,Travel - International,TRV-INT,Travel - International - Visa,TRV-INT-VIS
TXN_20241122_081382,SHELL WA #8538 547,14.58,INR,2024-11-22T10:09:46.152477,pos,"Delhi, DL",5541,Transportation,TRN,Transportation - Fuel,TRN-FUL,Transportation - Fuel - Petrol,TRN-FUL-PET
TXN_20241122_047235,AMAZON MARKETPLACE STORE 640,82.5,GBP,2024-11-22T10:13:52.152477,online,Web Purchase,5942,Shopping,SHP,Shopping - Online,SHP-ONL,Shopping - Online - Amazon,SHP-ONL-AMZ
TXN_20241122_034613,KFC #7229 079397,24.99,USD,2024-11-22T10:21:41.152477,atm,"Philadelphia, PA",5814,Dining,DIN,Dining - Fast Food,DIN-FST,Dining - Fast Food - Burgers,DIN-FST-BRG
TXN_20241122_030537,PP* FLIPKART,74.6,EUR,2024-11-22T10:25:00.152477,online,,5942,Shopping,SHP,Shopping - Online,SHP-ONL,Shopping - Online - Flipkart,SHP-ONL-FLP
TXN_20241122_061631,UNIQLO INC,74.46,USD,2024-11-22T10:31:01.152477,pos,"Chennai, TN",5651,Shopping,SHP,Shopping - Retail,SHP-RET,Shopping - Retail - Clothing,SHP-RET-CLO
TXN_20241122_056510,AMZN * 3BYX4FXQ 6445,274.31,USD,2024-11-22T10:32:09.152477,online,,5942,Shopping,SHP,Shopping - Online,SHP-ONL,Shopping - Online - Amazon,SHP-ONL-AMZ
TXN_20241122_099142,HEALTH INSURANCE * 9ZA8V4JP,218.24,USD,2024-11-22T10:36:28.152477,pos,"Chicago, IL",6300,Healthcare,HLT,Healthcare - Insurance,HLT-INS,Healthcare - Insurance - Premium,HLT-INS-PRM
TXN_20241122_051048,FUEL * XD6YH9EP,41.6,INR,2024-11-22T10:43:00.152477,pos,"Bangalore, KA",5541,Transportation,TRN,Transportation - Fuel,TRN-FUL,Transportation - Fuel - Diesel,TRN-FUL-DIE
TXN_20241122_081761,BEST BUY * QF8WXE99 357,500.0,INR,2024-11-22T10:49:33.152477,pos,"Chennai, TN",5732,Shopping,SHP,Shopping - Retail,SHP-RET,Shopping - Retail - Electronics,SHP-RET-ELC
TXN_20241122_000923,SALON LTD 396,12.77,INR,2024-11-22T11:16:11.152477,pos,"Ahmedabad, GJ",7230,Personal Care,PER,Personal Care - Salon,PER-SAL,Personal Care - Salon - Haircut,PER-SAL-HAR
TXN_20241122_046919,GAS STATION VA,27.85,USD,2024-11-22T11:16:17.152477,pos,"Mumbai, MH",5541,Transportation,TRN,Transportation - Fuel,TRN-FUL,Transportation - Fuel - Petrol,TRN-FUL-PET
